CO_FRAC_RA,Paraguay,Bolivia,Brasil,Peru,Colombia
12_1_6,6,1,0,9,1
12_1_7,5,19,4,51,0
12_1_8,10,0,1,10,0
12_1_9,17,7,0,8,0
12_10_1,16,2,0,1,1
12_10_10,22,2,7,39,0
12_10_11,5,7,0,36,0
12_10_2,7,0,0,1,0
12_10_3,16,1,1,4,1
12_10_4,18,1,1,10,0
12_10_5,4,1,0,2,0
12_10_6,9,1,3,9,2
12_10_7,7,0,1,2,1
12_10_8,12,0,4,0,1
12_10_9,17,0,2,11,0
12_11_1,2,1,0,11,0
12_11_10,11,0,0,1,6
12_11_11,11,8,3,6,0
12_11_2,9,9,5,28,1
12_11_3,9,1,0,10,0
12_11_4,11,2,1,4,3
12_11_5,25,1,2,5,0
12_11_6,19,1,5,15,0
12_11_7,3,0,0,11,0
12_11_8,10,4,2,10,4
12_11_9,11,2,5,1,3
12_12_1,6,0,0,6,3
12_12_2,15,5,0,16,5
12_12_3,13,0,6,5,6
12_12_4,12,3,0,10,2
12_12_5,6,0,3,7,1
12_12_6,1,1,0,4,0
12_12_7,10,0,1,0,0
12_12_8,12,2,1,1,10
12_13_1,6,0,3,9,1
12_13_2,6,1,3,9,1
12_13_3,25,5,1,3,1
12_13_4,13,3,1,5,1
12_13_5,13,1,2,4,1
12_13_6,5,1,0,6,0
12_13_7,5,0,1,13,1
12_14_1,15,0,5,7,1
12_14_10,11,0,0,6,2
12_14_2,4,1,2,1,1
12_14_3,10,5,2,2,0
12_14_4,5,1,4,2,1
12_14_5,8,2,3,4,1
12_14_6,8,7,1,2,1
12_14_7,13,8,1,77,3
12_14_8,5,0,4,9,0
12_14_9,9,4,1,1,0
12_15_1,12,0,1,20,1
12_15_10,4,0,1,3,0
12_15_11,3,0,2,0,0
12_15_12,10,0,0,3,0
12_15_13,14,0,0,2,0
12_15_2,17,0,0,6,1
12_15_3,12,5,1,4,0
12_15_4,5,0,4,11,1
12_15_5,19,1,1,9,3
12_15_6,3,6,1,4,2
12_15_7,8,0,2,4,0
12_15_8,5,0,1,4,0
12_15_9,15,5,4,7,1
12_16_1,20,1,3,10,1
12_16_10,11,0,1,4,0
12_16_11,6,1,2,5,1
12_16_12,14,2,0,11,1
12_16_13,16,2,2,10,1
12_16_14,2,0,1,0,0
12_16_2,9,0,1,39,2
12_16_3,3,0,0,3,4
12_16_4,9,1,0,2,1
12_16_5,19,2,5,5,5
12_16_6,14,0,4,5,1
12_16_7,9,0,0,2,1
12_16_8,16,1,2,4,2
12_16_9,16,1,5,12,0
12_17_1,6,1,0,0,0
12_17_2,15,0,1,12,2
12_17_3,1,1,2,8,2
12_17_4,8,1,2,16,0
12_17_5,13,3,2,12,1
12_17_6,7,1,1,7,1
12_17_7,8,1,0,10,0
12_17_8,13,4,1,1,0
12_18_1,2,0,0,0,0
12_18_10,5,0,0,3,0
12_18_11,7,0,2,4,0
12_18_12,10,3,1,42,0
12_18_13,5,0,1,7,1
12_18_2,12,0,0,5,2
12_18_3,4,0,0,7,1
12_18_4,8,0,0,4,0
12_18_5,13,0,0,4,2
12_18_6,4,6,2,5,0
12_18_7,7,4,0,10,0
12_18_8,9,2,2,39,0
12_18_9,4,7,1,8,2
12_19_1,6,5,2,4,2
12_19_10,3,0,0,1,5
12_19_11,7,0,0,5,1
